,Food Index,Nutrient Index,Amount_x,Nutrient,Unit
0,63101000,203,0.26,Protein,g
1,63101000,204,0.17,Total Fat,g
2,63101000,205,13.81,Carbohydrate,g
3,63101000,208,52.0,Energy,kcal
4,63101000,221,0.0,Alcohol,g
5,63101000,255,85.56,Water,g
6,63101000,262,0.0,Caffeine,mg
7,63101000,263,0.0,Theobromine,mg
8,63101000,269,10.39,"Sugars, total",g
9,63101000,291,2.4,"Fiber, total dietary",g
10,63101000,301,6.0,Calcium,mg
11,63101000,303,0.12,Iron,mg
12,63101000,304,5.0,Magnesium,mg
13,63101000,305,11.0,Phosphorus,mg
14,63101000,306,107.0,Potassium,mg
15,63101000,307,1.0,Sodium,mg
16,63101000,309,0.04,Zinc,mg
17,63101000,312,0.027,Copper,mg
18,63101000,317,0.0,Selenium,mcg
19,63101000,319,0.0,Retinol,mcg
20,63101000,320,3.0,"Vitamin A, RAE",mcg_RAE
21,63101000,321,27.0,"Carotene, beta",mcg
22,63101000,322,0.0,"Carotene, alpha",mcg
23,63101000,323,0.18,Vitamin E (alpha-tocopherol),mg
24,63101000,328,0.0,Vitamin D (D2 + D3),mcg
25,63101000,334,11.0,"Cryptoxanthin, beta",mcg
26,63101000,337,0.0,Lycopene,mcg
27,63101000,338,29.0,Lutein + zeaxanthin,mcg
28,63101000,401,4.6,Vitamin C,mg
29,63101000,404,0.017,Thiamin,mg
30,63101000,405,0.026,Riboflavin,mg
31,63101000,406,0.091,Niacin,mg
32,63101000,415,0.041,Vitamin B-6,mg
33,63101000,417,3.0,"Folate, total",mcg
34,63101000,418,0.0,Vitamin B-12,mcg
35,63101000,421,3.4,"Choline, total",mg
36,63101000,430,2.2,Vitamin K (phylloquinone),mcg
37,63101000,431,0.0,Folic acid,mcg
38,63101000,432,3.0,"Folate, food",mcg
39,63101000,435,3.0,"Folate, DFE",mcg_DFE
40,63101000,573,0.0,"Vitamin E, added",mg
41,63101000,578,0.0,"Vitamin B-12, added",mcg
42,63101000,601,0.0,Cholesterol,mg
43,63101000,606,0.028,"Fatty acids, total saturated",g
44,63101000,607,0.0,4:0,g
45,63101000,608,0.0,6:0,g
46,63101000,609,0.0,8:0,g
47,63101000,610,0.0,10:0,g
48,63101000,611,0.0,12:0,g
49,63101000,612,0.001,14:0,g
50,63101000,613,0.024,16:0,g
51,63101000,614,0.003,18:0,g
52,63101000,617,0.007,18:1,g
53,63101000,618,0.043,18:2,g
54,63101000,619,0.009,18:3,g
55,63101000,620,0.0,20:4,g
56,63101000,621,0.0,22:6 n-3,g
57,63101000,626,0.0,16:1,g
58,63101000,627,0.0,18:4,g
59,63101000,628,0.0,20:1,g
60,63101000,629,0.0,20:5 n-3,g
61,63101000,630,0.0,22:1,g
62,63101000,631,0.0,22:5 n-3,g
63,63101000,645,0.007,"Fatty acids, total monounsaturated",g
64,63101000,646,0.051,"Fatty acids, total polyunsaturated",g
65,63101000,710,0.0,Daidzein,mg
66,63101000,711,0.0,Genistein,mg
67,63101000,712,0.0,Glycitein,mg
68,63101000,731,1.57,Cyanidin,mg
69,63101000,740,0.0,Petunidin,mg
70,63101000,741,0.0,Delphinidin,mg
71,63101000,742,0.0,Malvidin,mg
72,63101000,743,0.0,Pelargonidin,mg
73,63101000,745,0.02,Peonidin,mg
74,63101000,749,1.3,(+)-Catechin,mg
75,63101000,750,0.26,(-)-Epigallocatechin,mg
76,63101000,751,7.53,(-)-Epicatechin,mg
77,63101000,752,0.01,(-)-Epicatechin 3-gallate,mg
78,63101000,753,0.19,(-)-Epigallocatechin 3-gallate,mg
79,63101000,755,0.0,Theaflavin,mg
80,63101000,756,0.0,Thearubigins,mg
81,63101000,758,0.0,Eriodictyol,mg
82,63101000,759,0.0,Hesperetin,mg
83,63101000,762,0.0,Naringenin,mg
84,63101000,770,0.0,Apigenin,mg
85,63101000,773,0.12,Luteolin,mg
86,63101000,785,0.0,Isorhamnetin,mg
87,63101000,786,0.14,Kaempferol,mg
88,63101000,788,0.0,Myricetin,mg
89,63101000,789,4.01,Quercetin,mg
90,63101000,791,0.0,"Theaflavin-3,3'-digallate",mg
91,63101000,792,0.0,Theaflavin-3'-gallate,mg
92,63101000,793,0.0,Theaflavin-3-gallate,mg
93,63101000,794,0.0,(+)-Gallocatechin,mg
94,63101000,7000,15.15,Total flavonoids,mg
95,63101000,7100,1.59,Total anthocyanidins,mg
96,63101000,7200,9.29,Total catechins (monomeric flavan-3-ols only),mg
97,63101000,7300,9.29,Total flavan-3-ols,mg
98,63101000,7400,0.0,Total flavanones,mg
99,63101000,7500,0.12,Total flavones,mg
100,63101000,7600,4.15,Total flavonols,mg
101,63101000,7700,0.0,Total isoflavones,mg
