Nutrient Index,Nutrient,Nutrient Category,Nutrient Code,Unit,Amount
710,Daidzein,Isoflavones,DAIDZN,mg,2
711,Genistein,Isoflavones,GNSTEIN,mg,2
712,Glycitein,Isoflavones,GLYCTEIN,mg,2
731,Cyanidin,Anthocyanidins,CYAD,mg,2
740,Petunidin,Anthocyanidins,PETUNIDIN,mg,2
741,Delphinidin,Anthocyanidins,DELPH,mg,2
742,Malvidin,Anthocyanidins,MALVIDIN,mg,2
743,Pelargonidin,Anthocyanidins, ,mg,2
745,Peonidin,Anthocyanidins,PEONIDIN,mg,2
749,(+)-Catechin,Flavan-3-ols, ,mg,2
750,(-)-Epigallocatechin,Flavan-3-ols,EPICATEGC,mg,2
751,(-)-Epicatechin,Flavan-3-ols,EPICATEC,mg,2
752,(-)-Epicatechin 3-gallate,Flavan-3-ols,EPICATECG3,mg,2
753,(-)-Epigallocatechin 3-gallate,Flavan-3-ols, ,mg,2
755,Theaflavin,Flavan-3-ols, ,mg,2
756,Thearubigins,Flavan-3-ols, ,mg,2
758,Eriodictyol,Flavanones, ,mg,2
759,Hesperetin,Flavanones,HESPT,mg,2
762,Naringenin,Flavanones,NARING,mg,2
770,Apigenin,Flavones,APIGEN,mg,2
773,Luteolin,Flavones,LUTEOL,mg,2
785,Isorhamnetin,Flavonols, ,mg,2
786,Kaempferol,Flavonols,KAEMF,mg,2
788,Myricetin,Flavonols,MYRIC,mg,2
789,Quercetin,Flavonols,QUERCE,mg,2
791,"Theaflavin-3,3'-digallate",Flavan-3-ols, ,mg,2
792,Theaflavin-3'-gallate,Flavan-3-ols, ,mg,2
793,Theaflavin-3-gallate,Flavan-3-ols, ,mg,2
794,(+)-Gallocatechin,Flavan-3-ols,GALCATEGC,mg,2
7000,Total flavonoids, , ,mg,2
7100,Total anthocyanidins,Anthocyanidins, ,mg,2
7200,Total catechins (monomeric flavan-3-ols only),Flavan-3-ols, ,mg,2
7300,Total flavan-3-ols,Flavan-3-ols, ,mg,2
7400,Total flavanones,Flavanones, ,mg,2
7500,Total flavones,Flavones, ,mg,2
7600,Total flavonols,Flavonols, ,mg,2
7700,Total isoflavones,Isoflavones, ,mg,2
